File,aid,Date,(0) Water Bodies,(1) Evergreen Needleleaf Forests,(5) Mixed Forests,(7) Open Shrublands,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(14) Cropland/Natural Vegetation Mosaic,(15) Permanent Snow and Ice
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017169_aid0001,aid0001,6/18/17,781,789,118,1669,553,40,756,1,64,14,116
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017170_aid0001,aid0001,6/19/17,798,691,211,1640,561,27,759,21,55,23,135
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017171_aid0001,aid0001,6/20/17,789,897,201,1639,521,41,750,22,60,13,129
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017172_aid0001,aid0001,6/21/17,626,388,119,1216,372,27,568,4,61,22,74
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017173_aid0001,aid0001,6/22/17,790,788,218,1656,548,31,745,22,63,21,132
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017174_aid0001,aid0001,6/23/17,798,876,157,1666,519,43,755,15,65,14,124
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017175_aid0001,aid0001,6/24/17,768,637,168,1650,560,33,767,20,60,21,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017176_aid0001,aid0001,6/25/17,782,861,221,1655,538,34,725,22,72,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017177_aid0001,aid0001,6/26/17,707,789,117,1516,551,40,737,1,65,14,116
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017178_aid0001,aid0001,6/27/17,799,692,211,1639,563,27,758,21,55,23,135
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017179_aid0001,aid0001,6/28/17,788,893,201,1640,520,41,750,22,60,13,129
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017180_aid0001,aid0001,6/29/17,735,699,127,1689,572,36,750,4,61,22,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017181_aid0001,aid0001,6/30/17,791,785,219,1653,549,31,746,22,63,21,132
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017182_aid0001,aid0001,7/1/17,798,876,156,1665,519,42,755,15,65,14,124
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017183_aid0001,aid0001,7/2/17,767,580,169,1635,530,33,757,20,59,21,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017184_aid0001,aid0001,7/3/17,781,861,221,1656,538,34,726,22,73,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017185_aid0001,aid0001,7/4/17,779,789,116,1669,553,40,756,1,65,14,116
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017186_aid0001,aid0001,7/5/17,799,691,213,1640,561,27,758,21,55,23,134
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017187_aid0001,aid0001,7/6/17,716,892,201,1497,520,41,687,22,60,13,129
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017188_aid0001,aid0001,7/7/17,735,696,127,1691,571,36,751,4,61,22,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017189_aid0001,aid0001,7/8/17,791,790,218,1657,548,31,746,22,63,21,132
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017190_aid0001,aid0001,7/9/17,798,875,155,1664,519,42,755,15,65,14,124
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017191_aid0001,aid0001,7/10/17,768,636,170,1648,559,33,766,20,60,21,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017192_aid0001,aid0001,7/11/17,671,861,221,1255,406,34,670,22,72,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017193_aid0001,aid0001,7/12/17,780,787,115,1669,553,40,757,1,64,15,116
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017194_aid0001,aid0001,7/13/17,799,692,213,1638,561,27,757,21,55,23,135
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017195_aid0001,aid0001,7/14/17,628,841,201,1229,454,27,568,22,60,13,125
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017196_aid0001,aid0001,7/15/17,734,696,127,1691,572,36,752,4,61,22,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017197_aid0001,aid0001,7/16/17,601,215,35,1190,471,14,534,22,18,7,113
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017198_aid0001,aid0001,7/17/17,798,876,155,1664,519,42,755,15,65,14,124
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017199_aid0001,aid0001,7/18/17,770,638,170,1648,557,33,766,21,59,21,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017200_aid0001,aid0001,7/19/17,781,861,221,1659,538,34,724,22,72,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017201_aid0001,aid0001,7/20/17,777,785,116,1669,554,40,755,1,65,15,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017202_aid0001,aid0001,7/21/17,799,693,213,1638,562,28,757,21,55,23,135
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017203_aid0001,aid0001,7/22/17,789,894,202,1639,518,41,752,22,60,13,129
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017204_aid0001,aid0001,7/23/17,731,694,126,1691,571,36,752,4,61,22,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017205_aid0001,aid0001,7/24/17,478,212,34,720,302,14,445,22,18,7,99
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017206_aid0001,aid0001,7/25/17,798,876,155,1664,519,42,756,15,65,14,124
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017207_aid0001,aid0001,7/26/17,770,639,171,1647,558,33,766,21,60,21,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017208_aid0001,aid0001,7/27/17,590,249,52,1201,456,21,516,22,35,8,103
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017209_aid0001,aid0001,7/28/17,778,785,115,1669,556,40,756,1,65,15,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017210_aid0001,aid0001,7/29/17,799,693,213,1639,562,28,757,21,55,23,135
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017211_aid0001,aid0001,7/30/17,567,313,57,1185,412,27,510,22,44,13,106
Soil_Moisture_Retrieval_Data_AM_landcover_class_2017212_aid0001,aid0001,7/31/17,634,682,125,1212,268,36,687,4,61,22,90
