File,aid,Date,(0) Water Bodies,(1) Evergreen Needleleaf Forests,(3) Deciduous Needleleaf Forests,(5) Mixed Forests,(6) Closed Shrublands,(7) Open Shrublands,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(15) Permanent Snow and Ice,(16) Barren,(99) NA
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015149_aid0001,aid0001,5/29/15,899,221,45,223,3,471,493,539,810,213,39,7,111,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015150_aid0001,aid0001,5/30/15,953,203,47,247,3,468,558,544,777,235,32,4,125,431,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015151_aid0001,aid0001,5/31/15,915,196,40,231,3,456,519,545,798,180,25,6,60,425,360,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015152_aid0001,aid0001,6/1/15,959,220,46,233,3,449,499,533,801,234,42,7,127,437,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015153_aid0001,aid0001,6/2/15,964,201,46,267,1,458,551,525,787,225,35,2,102,427,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015154_aid0001,aid0001,6/3/15,873,206,46,212,3,473,497,546,819,161,31,7,81,438,371,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015155_aid0001,aid0001,6/4/15,937,220,46,254,2,442,533,532,791,249,38,8,136,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015156_aid0001,aid0001,6/5/15,936,200,42,256,3,450,547,526,783,204,32,3,64,426,373,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015157_aid0001,aid0001,6/6/15,896,220,45,222,3,471,492,540,810,213,39,7,111,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015158_aid0001,aid0001,6/7/15,953,203,47,248,3,466,558,544,778,235,32,4,125,431,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015159_aid0001,aid0001,6/8/15,914,196,40,231,3,456,520,545,799,181,25,6,60,425,360,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015160_aid0001,aid0001,6/9/15,959,219,46,232,3,449,500,532,802,234,42,7,127,438,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015161_aid0001,aid0001,6/10/15,963,202,46,267,1,458,551,526,788,226,35,2,105,427,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015162_aid0001,aid0001,6/11/15,872,206,46,212,3,473,497,546,819,161,31,7,81,438,371,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015163_aid0001,aid0001,6/12/15,937,220,46,254,2,444,532,532,792,249,38,8,136,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015164_aid0001,aid0001,6/13/15,934,200,42,256,3,450,547,526,782,203,32,3,64,426,373,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015165_aid0001,aid0001,6/14/15,898,220,45,224,3,472,492,540,810,212,39,7,110,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015166_aid0001,aid0001,6/15/15,951,195,47,241,3,465,551,529,749,235,32,4,125,422,372,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015167_aid0001,aid0001,6/16/15,19,1,,,,27,6,10,1,,,,,15,28,1
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015168_aid0001,aid0001,6/17/15,9,,,,,,,,29,,,,,14,2,4
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015169_aid0001,aid0001,6/18/15,964,202,46,268,1,458,549,524,787,226,34,2,105,426,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015170_aid0001,aid0001,6/19/15,871,206,46,212,3,472,497,548,818,161,31,7,80,437,371,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015171_aid0001,aid0001,6/20/15,937,220,46,254,2,444,533,532,794,250,38,8,136,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015172_aid0001,aid0001,6/21/15,937,198,42,256,2,450,547,525,781,204,32,3,65,426,373,48
