File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018153_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/2/18,73039,0.31,1.5649,"(0.31,1.5649)",1.236,0.2634,0.0694,1.3635,1.5322,1.34,1.0799,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018154_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/3/18,69478,0.31,1.5649,"(0.31,1.5649)",1.2467,0.2425,0.0588,1.3609,1.5142,1.34,1.1053,1.2587
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018155_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/4/18,73288,0.31,1.5649,"(0.31,1.5649)",1.2201,0.2851,0.0813,1.3629,1.5346,1.34,1.0736,1.2471
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018156_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/5/18,71094,0.31,1.5649,"(0.31,1.5649)",1.2412,0.2533,0.0641,1.3622,1.5296,1.34,1.0821,1.2502
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018157_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/6/18,71180,0.31,1.5649,"(0.31,1.5649)",1.2348,0.2627,0.069,1.3621,1.5235,1.34,1.0931,1.2545
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018158_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/7/18,59794,0.31,1.5649,"(0.31,1.5649)",1.215,0.2944,0.0867,1.3616,1.5346,1.34,1.0482,1.2362
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018159_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/8/18,69918,0.31,1.5649,"(0.31,1.5649)",1.2437,0.2458,0.0604,1.3603,1.5221,1.34,1.0882,1.2514
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018160_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/9/18,63717,0.31,1.5649,"(0.31,1.5649)",1.2148,0.2989,0.0893,1.3684,1.5523,1.34,1.048,1.2401
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018161_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/10/18,73078,0.31,1.5649,"(0.31,1.5649)",1.2359,0.2636,0.0695,1.3635,1.5322,1.34,1.0799,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018162_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/11/18,69534,0.31,1.5649,"(0.31,1.5649)",1.2468,0.2423,0.0587,1.361,1.5142,1.34,1.1056,1.2588
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018163_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/12/18,72279,0.31,1.5649,"(0.31,1.5649)",1.2181,0.2865,0.0821,1.3626,1.5371,1.34,1.0645,1.2433
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018164_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/13/18,71166,0.31,1.5649,"(0.31,1.5649)",1.2413,0.2533,0.0642,1.3623,1.5296,1.34,1.0825,1.2503
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018165_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/14/18,71209,0.31,1.5649,"(0.31,1.5649)",1.2349,0.2624,0.0689,1.3622,1.5235,1.34,1.0931,1.2546
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2018166_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,6/15/18,46996,0.31,1.5649,"(0.31,1.5649)",1.2315,0.2537,0.0644,1.356,1.5426,1.3304,1.0443,1.2313
